,2day_kahu,solan,kahu,arki,kasauli,kandaghat,90day_kahu,4day_kahu
180,15.5,0.0,0.0,0.0,0.0,0.6,4.437777777777778,11.675000000000004
181,0.5,0.0,0.5,0.0,1.0,2.8,6.532222222222222,0.125
182,0.5,0.0,0.5,2.4,1.0,0.0,3.2577777777777777,4.875
183,38.5,1.8,18.5,7.0,5.5,0.0,3.7511111111111113,13.275
184,10.0,4.8,10.0,0.0,6.5,0.0,3.8344444444444448,2.5
185,5.4,0.0,0.0,0.0,0.0,0.0,1.728888888888889,3.475
186,1.5,0.0,1.5,0.0,0.0,0.0,2.818888888888889,0.375
187,14.8,0.0,14.8,10.6,27.6,0.0,8.94111111111111,3.975
188,2.5,0.0,0.0,0.0,0.0,20.0,1.712222222222222,3.624999999999999
189,12.0,0.0,0.0,0.0,12.0,0.4,6.516666666666667,8.8
190,1.5,4.0,1.5,0.0,24.5,7.5,2.126666666666667,0.575
191,0.8,0.0,0.5,6.25,24.5,0.0,1.4166666666666667,1.4
192,7.0,6.0,3.5,10.8,2.0,0.0,2.625555555555555,3.675
193,19.7,18.6,0.0,0.1,4.5,0.0,5.662222222222223,4.925
194,23.5,30.4,0.0,11.2,0.0,22.6,3.5188888888888887,6.0
195,0.0,1.0,0.0,0.0,0.0,3.4,0.8666666666666667,0.0
196,28.8,0.0,28.8,38.8,37.0,9.5,7.266666666666667,29.075
197,1.5,5.0,1.0,0.0,19.0,6.25,5.983333333333333,3.25
198,97.0,3.0,97.0,37.55,11.0,39.2,4.26,27.925
199,31.7,0.0,31.7,51.6,10.5,1.8,6.63111111111111,8.55
200,8.5,0.0,6.1,0.0,0.0,0.0,1.6688888888888889,2.125
201,2.5,0.0,0.0,19.0,0.0,0.0,5.222222222222222,7.3
202,10.0,3.0,10.0,31.1,0.0,16.6,1.772222222222222,2.55
203,3.5,0.0,0.0,1.8,2.5,6.3,2.603333333333333,3.675
204,8.7,0.0,0.0,0.0,0.0,0.0,8.53111111111111,64.825
205,26.7,1.2,7.5,0.0,10.5,7.8,5.194444444444445,8.375
206,0.2,0.0,0.2,0.0,30.0,0.0,1.8133333333333328,0.05
207,0.2,0.0,0.2,0.0,0.0,0.0,8.024444444444443,0.675
208,0.5,0.0,0.0,0.0,0.0,0.0,4.671111111111111,5.300000000000003
209,24.3,1.8,20.7,1.0,2.5,9.3,7.229444444444444,8.55
210,0.0,5.4,0.0,0.0,29.5,5.4,3.743333333333333,1.4250000000000036
211,67.95,0.0,0.95,2.8,1.0,0.0,6.678333333333334,16.9875
212,11.5,0.0,5.4,36.4,0.0,2.4,1.728888888888889,3.475
213,88.5,39.8,41.5,43.75,75.5,18.2,2.458888888888889,39.125
214,8.7,26.4,8.7,17.35,28.0,6.3,9.26222222222222,6.324999999999999
215,0.0,0.0,0.0,8.0,0.0,0.0,5.443333333333333,0.35
216,28.0,14.8,28.0,0.0,5.0,7.0,3.651111111111111,7.0
217,1.8,0.6,0.0,0.0,0.5,2.0,9.432222222222222,3.65
218,0.0,0.0,0.0,0.0,18.0,0.0,3.7455555555555553,6.325
219,34.5,0.5,25.0,4.2,5.5,1.4,7.376666666666666,15.6
220,4.5,0.0,4.5,0.0,0.0,0.0,6.355555555555555,1.875
221,12.0,0.0,0.0,0.0,0.0,0.0,7.8277777777777775,5.05
222,24.8,0.0,18.6,0.0,0.0,0.0,3.0044444444444447,28.75
223,7.2,0.0,0.0,0.0,0.0,0.0,1.4111111111111112,2.4499999999999984
224,0.0,0.0,0.0,0.0,17.5,0.0,8.357777777777779,34.5
225,0.0,0.7,0.0,0.0,2.5,1.2,5.913333333333334,0.0
226,5.3,15.0,0.0,4.0,7.5,7.0,5.3,1.575
227,5.2,21.0,0.0,5.75,2.0,0.0,4.635555555555555,9.925
228,28.5,1.4,0.0,0.0,0.0,33.0,8.111666666666668,13.75
229,20.0,0.0,0.0,4.25,17.0,0.0,9.106666666666667,12.95
230,2.6,3.7,1.9,0.0,2.5,0.0,8.252777777777778,0.7749999999999999
231,3.0,3.4,2.0,2.6,8.5,8.6,3.28111111111111,15.875
232,0.0,2.5,0.0,0.0,4.5,3.2,5.49888888888889,0.0
233,38.0,5.0,0.0,0.0,53.0,0.0,3.727777777777778,17.049999999999997
234,2.3,0.0,0.0,0.0,8.5,22.0,7.115,9.825
235,19.2,6.6,19.2,27.6,12.0,14.8,3.732222222222222,10.8
236,4.2,0.0,4.2,1.3,1.0,0.0,4.5744444444444445,1.05
237,67.6,2.2,67.6,38.7,40.0,45.0,6.401111111111112,17.75
238,54.7,3.4,0.0,0.0,1.5,4.0,3.2111111111111112,14.55
239,9.2,0.0,9.2,5.0,0.0,3.55,4.985555555555555,2.55
240,27.9,2.4,7.2,0.0,2.2,1.0,7.309444444444445,9.65
241,6.2,0.0,0.0,0.0,0.0,0.0,6.797777777777778,1.55
242,29.2,0.0,0.0,0.0,0.0,0.0,3.6088888888888886,7.300000000000003
243,11.0,24.6,11.0,2.2,11.5,9.3,5.754444444444444,7.675
244,42.1,0.0,1.4,14.0,5.5,5.225,5.632222222222223,10.625
245,0.0,22.2,0.0,0.0,12.5,0.0,0.9466666666666668,0.0
246,21.9,16.2,21.9,0.0,4.5,3.1,5.158888888888889,13.6
247,41.1,3.0,40.7,12.0,2.3,14.5,5.761111111111111,12.775
248,1.5,0.0,0.0,0.0,7.5,0.0,2.818888888888889,0.375
249,86.0,3.2,5.0,2.0,0.0,11.2,2.6311111111111107,21.65
250,11.0,3.2,9.2,6.2,3.0,16.0,4.021111111111111,3.500000000000004
251,3.3,10.2,2.8,36.0,13.5,0.0,4.763333333333334,15.7
252,44.5,43.2,39.0,16.4,53.5,85.5,2.9833333333333334,15.5
253,4.2,63.0,4.2,3.8,12.0,4.6,3.381111111111111,1.3750000000000009
254,10.0,0.0,10.0,2.0,0.0,0.0,0.7755555555555556,2.5
255,18.2,16.0,18.2,9.8,0.3,2.5,5.035555555555556,6.949999999999999
256,16.7,6.4,1.3,0.3,0.0,32.0,1.602222222222222,4.175
257,5.5,0.0,0.0,0.0,0.0,0.0,7.277222222222223,1.375
258,21.2,0.0,0.5,0.0,10.5,1.2,4.743333333333334,9.175000000000004
259,0.0,3.0,0.0,0.0,0.0,4.3,1.36,1.15
260,16.5,32.6,16.5,42.2,38.5,31.6,4.774444444444445,4.575
261,9.0,0.0,9.0,0.0,0.0,0.0,1.5977777777777775,2.25
262,41.0,105.0,27.0,272.2,48.5,110.8,4.167777777777777,10.25
263,32.5,5.2,0.0,0.0,3.5,0.0,4.915555555555556,21.0
264,76.9,3.2,2.4,0.0,11.5,3.0,7.961666666666666,19.8
265,0.6,0.0,0.0,0.0,0.0,0.0,1.4155555555555557,1.35
266,0.0,0.0,0.0,8.5,34.0,0.0,8.53111111111111,0.0
267,1.8,0.0,1.8,30.0,0.0,7.95,3.3744444444444444,0.45
268,2.8,18.2,2.8,27.8,4.0,0.0,1.3855555555555554,0.7
269,2.5,0.0,0.0,9.375,37.5,0.0,3.0188888888888887,1.175000000000001
