,kahu,date,discharge,arki,3day_arki,kahu,3day_kahu,90day_kahu
133,0.0,2011-07-01,6.909310668000062,0.0,8.333333333333334,0.0,22.73333333333333,3.727777777777778
134,0.0,2011-07-02,6.427924269000058,0.0,7.0,0.0,12.666666666666664,3.7233333333333336
135,0.0,2011-07-04,4.360794438000039,8.0,2.6666666666666665,0.0,0.0,3.7233333333333336
136,0.0,2011-07-05,3.34138794600003,0.0,2.6666666666666665,0.0,0.0,3.7233333333333336
137,0.0,2011-07-06,3.114853170000028,0.0,2.6666666666666665,0.0,0.0,3.7233333333333336
138,10.0,2011-07-08,9.174658428000082,0.0,0.0,10.0,3.333333333333331,3.8344444444444448
139,0.0,2011-07-09,9.202975275000082,5.0,1.6666666666666667,0.0,3.333333333333331,3.8344444444444448
140,3.7,2011-07-10,5.748319941000052,0.0,1.6666666666666667,3.7,4.566666666666664,3.8677777777777775
141,0.0,2011-07-11,5.153666154000046,0.0,1.6666666666666667,0.0,1.233333333333331,3.86
142,0.0,2011-07-12,4.105942815000037,0.0,0.0,0.0,1.233333333333331,3.8466666666666662
143,0.5,2011-07-13,5.63505255300005,4.0,1.3333333333333333,0.5,0.1666666666666643,3.852222222222222
144,1.5,2011-07-14,5.323567236000048,1.0,1.6666666666666667,1.5,0.6666666666666643,3.868888888888889
145,81.0,2011-07-15,115.30620098400102,28.0,11.0,81.0,27.666666666666668,4.768888888888889
146,24.6,2011-07-16,37.321604346000335,56.0,28.33333333333333,24.6,35.7,5.014444444444445
147,0.3,2011-07-17,29.024768175000258,14.0,32.666666666666664,0.3,35.300000000000004,4.873333333333334
148,1.6,2011-07-18,29.676055656000266,20.0,30.0,1.6,8.833333333333334,4.891111111111111
149,30.5,2011-07-19,19.00060433700017,2.0,12.0,30.5,10.8,5.23
150,0.0,2011-07-20,14.413275123000128,0.0,7.333333333333333,0.0,10.7,5.23
151,0.0,2011-07-21,11.808125199000106,0.0,0.6666666666666666,0.0,10.166666666666666,5.23
152,0.0,2011-07-23,12.629313762000113,2.0,0.6666666666666666,0.0,0.0,5.23
153,1.0,2011-07-24,9.429510051000085,4.0,2.0,1.0,0.3333333333333333,5.241111111111111
154,0.0,2011-07-25,9.00475734600008,1.0,2.333333333333333,0.0,0.3333333333333333,5.241111111111111
155,5.3,2011-07-26,9.202975275000082,0.0,1.6666666666666667,5.3,2.1,5.3
156,0.0,2011-07-27,9.627727980000088,4.0,1.6666666666666667,0.0,1.7666666666666666,5.3
157,10.0,2011-07-28,11.949709434000107,0.0,1.3333333333333333,10.0,5.1000000000000005,5.411111111111111
158,0.0,2011-07-29,7.419013914000066,0.0,1.3333333333333333,0.0,3.333333333333333,5.411111111111111
159,0.0,2011-07-30,6.7960432800000605,0.0,0.0,0.0,3.333333333333333,5.411111111111111
160,0.0,2011-08-01,6.314656881000056,10.0,3.333333333333333,0.0,0.0,5.411111111111111
161,4.0,2011-08-02,6.399607422000057,0.0,3.333333333333333,4.0,1.3333333333333333,5.455555555555556
162,0.5,2011-08-03,6.088122105000054,0.0,3.333333333333333,0.5,1.5,5.461111111111111
163,0.0,2011-08-04,5.889904176000052,0.0,0.0,0.0,1.5,5.461111111111111
164,1.8,2011-08-05,6.314656881000056,5.0,1.6666666666666667,1.8,0.7666666666666666,5.481111111111111
165,0.0,2011-08-06,8.91980680500008,0.0,1.6666666666666667,0.0,0.6,5.481111111111111
166,4.0,2011-08-07,5.861587329000052,0.0,1.6666666666666667,4.0,1.9333333333333331,5.525555555555556
167,0.0,2011-08-08,7.022578056000063,0.0,0.0,0.0,1.3333333333333333,5.505555555555556
