date,2day_kahu,discharge,solan,kahu,arki,kasauli,kandaghat,90day_kahu,2day_max_kahu,4day_kahu,3day_kahu,3day_kasauli,3day_kandaghat,3day_arki,3day_solan
2013-07-16,51.5,23.965,12.6,36.0,3.2,8.0,24.8,4.554444444444444,36.0,13.375,17.5,5.666666666666667,8.733333333333338,12.400000000000004,4.200000000000002
2013-07-17,68.5,20.85933333,4.0,32.5,24.4,5.8,31.0,4.915555555555556,36.0,21.25,28.0,4.6000000000000005,18.600000000000005,20.533333333333335,5.533333333333336
2013-07-18,32.5,8.043,5.2,0.0,0.0,3.5,0.0,4.915555555555556,32.5,21.0,22.833333333333332,5.766666666666667,18.600000000000005,9.200000000000001,7.266666666666669
2013-07-19,0.0,35.26177778,0.0,0.0,0.0,7.2,0.0,4.915555555555556,0.0,17.125,10.833333333333334,5.5,10.333333333333337,8.133333333333335,3.0666666666666687
2013-07-20,21.9,10.932,16.2,21.9,0.0,4.5,3.1,5.158888888888889,21.9,13.6,7.3,5.066666666666666,1.033333333333338,2.3684757858670005e-15,7.1333333333333355
2013-07-21,22.5,15.01,0.0,0.6,0.0,0.0,1.4,5.165555555555556,21.9,5.625,7.5,3.9,1.5000000000000047,2.3684757858670005e-15,5.400000000000002
2013-07-22,3.0,16.93233333,14.0,2.4,0.0,51.0,8.0,5.192222222222222,2.4,6.225,8.299999999999999,18.5,4.166666666666671,2.3684757858670005e-15,10.066666666666668
2013-07-23,2.4,16.794,0.0,0.0,0.0,0.0,1.8,5.192222222222222,2.4,6.225,1.0,17.0,3.7333333333333383,2.3684757858670005e-15,4.666666666666669
2013-07-24,0.0,12.34744444,6.8,0.0,0.0,23.5,0.8,5.192222222222222,0.0,0.75,0.7999999999999999,24.833333333333332,3.533333333333338,2.3684757858670005e-15,6.933333333333336
2013-07-25,0.8,13.99,5.2,0.8,0.0,32.5,26.8,5.2011111111111115,0.8,0.8,0.26666666666666666,18.666666666666668,9.800000000000004,2.3684757858670005e-15,4.000000000000003
2013-07-26,0.8,10.167,0.0,0.0,0.0,3.5,0.2,5.2,0.8,0.2,0.26666666666666666,19.833333333333332,9.266666666666671,2.3684757858670005e-15,4.000000000000003
2013-07-27,3.0,10.02555556,5.6,3.0,0.0,0.0,12.8,5.233333333333333,3.0,0.95,1.2666666666666666,12.0,13.266666666666671,2.3684757858670005e-15,3.6000000000000028
2013-07-28,3.0,11.61122222,0.0,0.0,0.0,0.0,4.4,5.233333333333333,3.0,0.95,1.0,1.1666666666666667,5.800000000000004,2.3684757858670005e-15,1.866666666666669
2013-07-29,8.0,8.892333333,0.0,8.0,0.0,0.0,1.2,5.322222222222222,8.0,2.75,3.6666666666666665,0.0,6.133333333333339,2.3684757858670005e-15,1.866666666666669
2013-07-30,8.0,9.912222222,0.0,0.0,0.0,12.5,0.0,5.322222222222222,8.0,2.75,2.6666666666666665,4.166666666666667,1.8666666666666716,2.3684757858670005e-15,2.3684757858670005e-15
2013-07-31,0.0,7.618,0.0,0.0,0.0,0.0,0.0,5.322222222222222,0.0,2.0,2.6666666666666665,4.166666666666667,0.40000000000000474,2.3684757858670005e-15,2.3684757858670005e-15
2013-08-01,4.5,10.167,3.4,4.5,0.0,0.0,2.8,5.372222222222222,4.5,3.125,1.5,4.166666666666667,0.933333333333338,2.3684757858670005e-15,1.1333333333333357
2013-08-02,5.4,8.128,5.8,0.9,0.0,0.0,0.2,5.382222222222222,4.5,1.35,1.8,0.0,1.0000000000000047,2.3684757858670005e-15,3.0666666666666687
2013-08-03,0.9,7.646333333,1.2,0.0,0.0,0.0,14.0,5.382222222222222,0.9,1.35,1.8,0.0,5.666666666666671,2.3684757858670005e-15,3.466666666666669
2013-08-04,19.8,10.28033333,6.4,19.8,0.0,0.0,17.4,5.602222222222222,19.8,6.300000000000001,6.900000000000001,0.0,10.533333333333337,2.3684757858670005e-15,4.4666666666666694
2013-08-05,19.8,8.383,0.0,0.0,0.0,9.0,0.0,5.602222222222222,19.8,5.175,6.6000000000000005,3.0,10.46666666666667,2.3684757858670005e-15,2.5333333333333363
2013-08-06,0.0,11.44133333,6.5,0.0,0.0,7.2,17.4,5.602222222222222,0.0,4.95,6.6000000000000005,5.3999999999999995,11.600000000000003,2.3684757858670005e-15,4.300000000000003
2013-08-07,3.0,16.70877778,7.2,3.0,11.4,2.5,2.8,5.635555555555555,3.0,5.7,1.0,6.233333333333333,6.733333333333338,3.8000000000000025,4.566666666666669
2013-08-08,34.9,81.20588889,7.2,31.9,23.4,23.0,2.4,5.99,31.9,8.725,11.633333333333333,10.9,7.533333333333338,11.600000000000001,6.9666666666666694
